id,id_tempat,jam_buka,jam_tutup,hari
205,7,00:00,23:59,rabu
206,8,08:00,16:00,rabu
207,9,00:00,23:59,rabu
208,10,00:00,23:59,rabu
209,11,05:00,16:00,rabu
210,12,09:00,15:00,rabu
211,13,00:00,23:59,rabu
212,14,08:00,16:00,rabu
213,15,00:00,23:59,rabu
214,16,08:00,17:00,rabu
215,17,06:00,18:00,rabu
216,18,09:00,17:00,rabu
217,19,07:30,16:00,rabu
218,20,09:00,17:00,rabu
219,21,00:00,23:59,rabu
220,22,09:00,21:00,rabu
221,23,00:00,23:59,rabu
222,24,08:00,21:00,rabu
223,25,08:30,14:00,rabu
224,26,00:00,23:59,rabu
225,27,00:00,23:59,rabu
226,28,10:00,21:00,rabu
227,29,07:00,18:00,rabu
228,30,00:00,23:59,rabu
229,31,09:00,17:00,rabu
230,32,08:30,21:00,rabu
231,33,00:00,23:59,rabu
232,34,07:00,17:00,rabu
233,35,11:00,21:00,rabu
234,36,09:00,21:00,rabu
235,37,00:00,23:59,rabu
236,38,09:00,15:00,rabu
237,39,07:00,16:00,rabu
238,40,08:00,21:00,rabu
239,41,08:30,15:00,rabu
240,42,10:00,21:00,rabu
241,43,17:00,23:59,rabu
242,44,08:00,17:00,rabu
243,45,09:00,17:00,rabu
244,46,00:00,23:59,rabu
245,47,08:00,17:00,rabu
246,48,09:00,18:00,rabu
247,49,00:00,23:59,rabu
248,50,06:00,21:00,rabu
249,51,00:00,23:59,rabu
250,52,00:00,23:59,rabu
251,53,12:00,22:00,rabu
252,54,00:00,00:00,rabu
253,55,07:30,16:30,rabu
254,56,08:00,21:00,rabu
255,57,08:00,21:00,rabu
256,58,08:00,17:00,rabu
257,59,03:15,23:30,rabu
258,60,08:00,16:00,rabu
259,61,10:00,23:00,rabu
260,62,06:30,16:30,rabu
261,63,07:30,16:00,rabu
262,64,07:00,18:00,rabu
263,65,08:00,17:00,rabu
264,66,10:00,22:00,rabu
265,67,09:00,16:00,rabu
266,68,09:00,15:00,rabu
267,69,08:30,14:00,rabu
268,70,08:30,16:00,rabu
269,71,08:00,21:00,rabu
270,72,09:00,15:00,rabu
271,73,00:00,23:59,rabu
272,74,00:00,23:59,rabu
273,75,06:30,17:00,rabu
274,76,07:30,16:00,rabu
275,77,08:00,14:00,rabu
276,78,09:00,16:00,rabu
277,79,06:00,18:00,rabu
278,80,09:00,17:00,rabu
279,81,07:30,16:00,rabu
280,82,08:00,13:30,rabu
281,83,16:30,22:00,rabu
282,84,06:00,17:00,rabu
283,85,08:00,21:00,rabu
284,86,06:00,18:00,rabu
285,87,08:30,15:30,rabu
286,88,00:00,23:59,rabu
287,89,00:00,23:59,rabu
288,90,08:30,15:30,rabu
289,91,08:00,15:30,rabu
290,92,08:00,18:00,rabu
291,93,06:00,21:00,rabu
292,94,06:00,18:00,rabu
293,95,08:00,18:00,rabu
294,96,00:00,23:59,rabu
295,97,14:00,18:00,rabu
296,98,10:00,17:00,rabu
297,99,09:00,16:30,rabu
